timestamp,open,high,low,close,spread
2026-08-27T06:00:00Z,4500.00,4500.35,4499.55,4500.00,0.25
2026-08-27T06:01:00Z,4500.00,4500.61,4499.55,4500.26,0.25
2026-08-27T06:02:00Z,4500.26,4500.87,4499.81,4500.51,0.25
2026-08-27T06:03:00Z,4500.51,4501.12,4500.07,4500.75,0.25
2026-08-27T06:04:00Z,4500.75,4501.36,4500.32,4500.98,0.25
2026-08-27T06:05:00Z,4500.98,4501.58,4500.56,4501.18,0.25
2026-08-27T06:06:00Z,4501.18,4501.77,4500.77,4501.36,0.25
2026-08-27T06:07:00Z,4501.36,4501.93,4500.96,4501.51,0.25
2026-08-27T06:08:00Z,4501.51,4502.06,4501.12,4501.63,0.25
2026-08-27T06:09:00Z,4501.63,4502.15,4501.25,4501.72,0.25
2026-08-27T06:10:00Z,4501.72,4502.21,4501.34,4501.76,0.25
2026-08-27T06:11:00Z,4501.76,4502.22,4501.39,4501.77,0.25
2026-08-27T06:12:00Z,4501.77,4502.21,4501.40,4501.75,0.25
2026-08-27T06:13:00Z,4501.75,4502.18,4501.38,4501.71,0.25
2026-08-27T06:14:00Z,4501.71,4502.14,4501.34,4501.66,0.25
2026-08-27T06:15:00Z,4501.66,4502.10,4501.29,4501.61,0.25
2026-08-27T06:16:00Z,4501.61,4502.06,4501.24,4501.57,0.25
2026-08-27T06:17:00Z,4501.57,4502.04,4501.19,4501.55,0.25
2026-08-27T06:18:00Z,4501.55,4502.04,4501.17,4501.55,0.25
2026-08-27T06:19:00Z,4501.55,4502.07,4501.17,4501.59,0.25
2026-08-27T06:20:00Z,4501.59,4502.14,4501.21,4501.68,0.25
2026-08-27T06:21:00Z,4501.68,4502.27,4501.30,4501.81,0.25
2026-08-27T06:22:00Z,4501.81,4502.44,4501.43,4502.00,0.25
2026-08-27T06:23:00Z,4502.00,4502.67,4501.62,4502.24,0.25
2026-08-27T06:24:00Z,4502.24,4502.94,4501.85,4502.53,0.25
2026-08-27T06:25:00Z,4502.53,4503.25,4502.14,4502.85,0.25
2026-08-27T06:26:00Z,4502.85,4503.58,4502.46,4503.19,0.25
2026-08-27T06:27:00Z,4503.19,4503.92,4502.80,4503.53,0.25
2026-08-27T06:28:00Z,4503.53,4504.24,4503.14,4503.86,0.25
2026-08-27T06:29:00Z,4503.86,4504.54,4503.47,4504.16,0.25
2026-08-27T06:30:00Z,4504.16,4504.79,4503.77,4504.42,0.25
2026-08-27T06:31:00Z,4504.42,4505.00,4504.03,4504.62,0.25
2026-08-27T06:32:00Z,4504.62,4505.14,4504.23,4504.75,0.25
2026-08-27T06:33:00Z,4504.75,4505.21,4504.36,4504.80,0.25
2026-08-27T06:34:00Z,4504.80,4505.22,4504.41,4504.78,0.25
2026-08-27T06:35:00Z,4504.78,4505.19,4504.39,4504.69,0.25
2026-08-27T06:36:00Z,4504.69,4505.10,4504.30,4504.54,0.25
2026-08-27T06:37:00Z,4504.54,4504.97,4504.15,4504.33,0.25
2026-08-27T06:38:00Z,4504.33,4504.77,4503.94,4504.09,0.25
2026-08-27T06:39:00Z,4504.09,4504.55,4503.70,4503.83,0.25
2026-08-27T06:40:00Z,4503.83,4504.31,4503.44,4503.57,0.25
2026-08-27T06:41:00Z,4503.57,4504.06,4503.18,4503.32,0.25
2026-08-27T06:42:00Z,4503.32,4503.82,4502.93,4503.10,0.25
2026-08-27T06:43:00Z,4503.10,4503.61,4502.71,4502.93,0.25
2026-08-27T06:44:00Z,4502.93,4503.44,4502.54,4502.82,0.25
2026-08-27T06:45:00Z,4502.82,4503.33,4502.43,4502.78,0.25
2026-08-27T06:46:00Z,4502.78,4503.29,4502.39,4502.81,0.25
2026-08-27T06:47:00Z,4502.81,4503.33,4502.42,4502.92,0.25
2026-08-27T06:48:00Z,4502.92,4503.47,4502.53,4503.10,0.25
2026-08-27T06:49:00Z,4503.10,4503.69,4502.71,4503.34,0.25
2026-08-27T06:50:00Z,4503.34,4503.97,4502.95,4503.63,0.25
2026-08-27T06:51:00Z,4503.63,4504.29,4503.24,4503.95,0.25
2026-08-27T06:52:00Z,4503.95,4504.64,4503.56,4504.29,0.25
2026-08-27T06:53:00Z,4504.29,4505.00,4503.90,4504.63,0.25
2026-08-27T06:54:00Z,4504.63,4505.35,4504.24,4504.96,0.25
2026-08-27T06:55:00Z,4504.96,4505.66,4504.57,4505.25,0.25
2026-08-27T06:56:00Z,4505.25,4505.91,4504.86,4505.49,0.25
2026-08-27T06:57:00Z,4505.49,4506.10,4505.10,4505.67,0.25
2026-08-27T06:58:00Z,4505.67,4506.23,4505.28,4505.77,0.25
2026-08-27T06:59:00Z,4505.77,4506.28,4505.38,4505.79,0.25
2026-08-27T07:00:00Z,4505.79,4506.26,4505.40,4505.73,0.25
2026-08-27T07:01:00Z,4505.73,4506.17,4505.34,4505.60,0.25
2026-08-27T07:02:00Z,4505.60,4506.03,4505.21,4505.40,0.25
2026-08-27T07:03:00Z,4505.40,4505.83,4505.01,4505.16,0.25
2026-08-27T07:04:00Z,4505.16,4505.60,4504.77,4504.90,0.25
2026-08-27T07:05:00Z,4504.90,4505.36,4504.51,4504.64,0.25
2026-08-27T07:06:00Z,4504.64,4505.12,4504.25,4504.39,0.25
2026-08-27T07:07:00Z,4504.39,4504.89,4504.00,4504.18,0.25
2026-08-27T07:08:00Z,4504.18,4504.69,4503.79,4504.02,0.25
2026-08-27T07:09:00Z,4504.02,4504.53,4503.63,4503.93,0.25
2026-08-27T07:10:00Z,4503.93,4504.44,4503.54,4503.91,0.25
2026-08-27T07:11:00Z,4503.91,4504.42,4503.52,4503.96,0.25
2026-08-27T07:12:00Z,4503.96,4504.48,4503.57,4504.09,0.25
2026-08-27T07:13:00Z,4504.09,4504.64,4503.70,4504.29,0.25
2026-08-27T07:14:00Z,4504.29,4504.88,4503.90,4504.55,0.25
2026-08-27T07:15:00Z,4504.55,4505.18,4504.16,4504.85,0.25
2026-08-27T07:16:00Z,4504.85,4505.51,4504.46,4505.18,0.25
2026-08-27T07:17:00Z,4505.18,4505.87,4504.79,4505.52,0.25
2026-08-27T07:18:00Z,4505.52,4506.23,4505.13,4505.86,0.25
2026-08-27T07:19:00Z,4505.86,4506.58,4505.47,4506.18,0.25
2026-08-27T07:20:00Z,4506.18,4506.88,4505.79,4506.46,0.25
2026-08-27T07:21:00Z,4506.46,4507.12,4506.07,4506.69,0.25
2026-08-27T07:22:00Z,4506.69,4507.30,4506.30,4506.86,0.25
2026-08-27T07:23:00Z,4506.86,4507.42,4506.47,4506.95,0.25
2026-08-27T07:24:00Z,4506.95,4507.46,4506.56,4506.96,0.25
2026-08-27T07:25:00Z,4506.96,4507.43,4506.57,4506.90,0.25
2026-08-27T07:26:00Z,4506.90,4507.34,4506.51,4506.76,0.25
2026-08-27T07:27:00Z,4506.76,4507.19,4506.37,4506.56,0.25
2026-08-27T07:28:00Z,4506.56,4506.99,4506.17,4506.32,0.25
2026-08-27T07:29:00Z,4506.32,4506.76,4505.93,4506.06,0.25
2026-08-27T07:30:00Z,4506.06,4506.52,4505.67,4505.80,0.25
2026-08-27T07:31:00Z,4505.80,4506.28,4505.41,4505.55,0.25
2026-08-27T07:32:00Z,4505.55,4506.05,4505.16,4505.34,0.25
2026-08-27T07:33:00Z,4505.34,4505.85,4504.95,4505.18,0.25
2026-08-27T07:34:00Z,4505.18,4505.69,4504.79,4505.09,0.25
2026-08-27T07:35:00Z,4505.09,4505.60,4504.70,4505.07,0.25
2026-08-27T07:36:00Z,4505.07,4505.58,4504.68,4505.12,0.25
2026-08-27T07:37:00Z,4505.12,4505.64,4504.73,4505.25,0.25
2026-08-27T07:38:00Z,4505.25,4505.80,4504.86,4505.45,0.25
2026-08-27T07:39:00Z,4505.45,4506.04,4505.06,4505.71,0.25
2026-08-27T07:40:00Z,4505.71,4506.34,4505.32,4506.01,0.25
2026-08-27T07:41:00Z,4506.01,4506.67,4505.62,4506.34,0.25
2026-08-27T07:42:00Z,4506.34,4507.03,4505.95,4506.68,0.25
2026-08-27T07:43:00Z,4506.68,4507.39,4506.29,4507.02,0.25
2026-08-27T07:44:00Z,4507.02,4507.74,4506.63,4507.35,0.25
2026-08-27T07:45:00Z,4507.35,4508.05,4506.96,4507.64,0.25
2026-08-27T07:46:00Z,4507.64,4508.30,4507.25,4507.87,0.25
2026-08-27T07:47:00Z,4507.87,4508.48,4507.48,4508.04,0.25
2026-08-27T07:48:00Z,4508.04,4508.60,4507.65,4508.13,0.25
2026-08-27T07:49:00Z,4508.13,4508.64,4507.74,4508.14,0.25
2026-08-27T07:50:00Z,4508.14,4508.61,4507.75,4508.08,0.25
2026-08-27T07:51:00Z,4508.08,4508.52,4507.69,4507.94,0.25
2026-08-27T07:52:00Z,4507.94,4508.37,4507.55,4507.74,0.25
2026-08-27T07:53:00Z,4507.74,4508.17,4507.35,4507.50,0.25
2026-08-27T07:54:00Z,4507.50,4507.94,4507.11,4507.24,0.25
2026-08-27T07:55:00Z,4507.24,4507.70,4506.85,4506.98,0.25
2026-08-27T07:56:00Z,4506.98,4507.46,4506.59,4506.73,0.25
2026-08-27T07:57:00Z,4506.73,4507.23,4506.34,4506.52,0.25
2026-08-27T07:58:00Z,4506.52,4507.03,4506.13,4506.36,0.25
2026-08-27T07:59:00Z,4506.36,4506.87,4505.97,4506.27,0.25
2026-08-27T08:00:00Z,4506.27,4506.78,4505.88,4506.25,0.25
2026-08-27T08:01:00Z,4506.25,4506.76,4505.86,4506.30,0.25
2026-08-27T08:02:00Z,4506.30,4506.82,4505.91,4506.43,0.25
2026-08-27T08:03:00Z,4506.43,4506.98,4506.04,4506.63,0.25
2026-08-27T08:04:00Z,4506.63,4507.22,4506.24,4506.89,0.25
2026-08-27T08:05:00Z,4506.89,4507.52,4506.50,4507.19,0.25
2026-08-27T08:06:00Z,4507.19,4507.85,4506.80,4507.52,0.25
2026-08-27T08:07:00Z,4507.52,4508.21,4507.13,4507.86,0.25
2026-08-27T08:08:00Z,4507.86,4508.57,4507.47,4508.20,0.25
2026-08-27T08:09:00Z,4508.20,4508.92,4507.81,4508.53,0.25
2026-08-27T08:10:00Z,4508.53,4509.23,4508.14,4508.82,0.25
2026-08-27T08:11:00Z,4508.82,4509.48,4508.43,4509.05,0.25
2026-08-27T08:12:00Z,4509.05,4509.66,4508.66,4509.22,0.25
2026-08-27T08:13:00Z,4509.22,4509.78,4508.83,4509.31,0.25
2026-08-27T08:14:00Z,4509.31,4509.82,4508.92,4509.32,0.25
2026-08-27T08:15:00Z,4509.32,4509.79,4508.93,4509.26,0.25
2026-08-27T08:16:00Z,4509.26,4509.70,4508.87,4509.12,0.25
2026-08-27T08:17:00Z,4509.12,4509.55,4508.73,4508.92,0.25
2026-08-27T08:18:00Z,4508.92,4509.35,4508.53,4508.68,0.25
2026-08-27T08:19:00Z,4508.68,4509.12,4508.29,4508.42,0.25
2026-08-27T08:20:00Z,4508.42,4508.88,4508.03,4508.16,0.25
2026-08-27T08:21:00Z,4508.16,4508.64,4507.77,4507.91,0.25
2026-08-27T08:22:00Z,4507.91,4508.41,4507.52,4507.70,0.25
2026-08-27T08:23:00Z,4507.70,4508.21,4507.31,4507.54,0.25
2026-08-27T08:24:00Z,4507.54,4508.05,4507.15,4507.45,0.25
2026-08-27T08:25:00Z,4507.45,4507.96,4507.06,4507.43,0.25
2026-08-27T08:26:00Z,4507.43,4507.94,4507.04,4507.48,0.25
2026-08-27T08:27:00Z,4507.48,4508.00,4507.09,4507.61,0.25
2026-08-27T08:28:00Z,4507.61,4508.16,4507.22,4507.81,0.25
2026-08-27T08:29:00Z,4507.81,4508.40,4507.42,4508.07,0.25
2026-08-27T08:30:00Z,4508.07,4508.70,4507.68,4508.37,0.25
